config,image_weight,text_weight,query,rank,creator,score,relevant
visual_only,1.0,0.0,makeup,1,alliecatcosplay,0.2927,0
visual_only,1.0,0.0,makeup,2,amanda_hadzimichalis,0.2889,0
visual_only,1.0,0.0,makeup,3,..khatho,0.2878,0
visual_only,1.0,0.0,makeup,4,renzuwuu,0.2836,0
visual_only,1.0,0.0,makeup,5,bibaelegante,0.2829,0
visual_only,1.0,0.0,makeup,6,simoncisnerospro,0.2822,0
visual_only,1.0,0.0,makeup,7,sasha.yakubova,0.2808,0
visual_only,1.0,0.0,makeup,8,newemberwest,0.279,0
visual_only,1.0,0.0,makeup,9,malek.hac,0.2779,0
visual_only,1.0,0.0,makeup,10,puncha.patisserie,0.2779,0
visual_only,1.0,0.0,fitness,1,pjfperformance,0.3156,0
visual_only,1.0,0.0,fitness,2,boburmma92,0.2998,0
visual_only,1.0,0.0,fitness,3,alyseee_xofit,0.297,1
visual_only,1.0,0.0,fitness,4,user07824477,0.2947,0
visual_only,1.0,0.0,fitness,5,beduyzuize,0.2926,0
visual_only,1.0,0.0,fitness,6,alansleftnu,0.2868,0
visual_only,1.0,0.0,fitness,7,watan9464,0.2859,1
visual_only,1.0,0.0,fitness,8,diaryoflalalindseay,0.2833,1
visual_only,1.0,0.0,fitness,9,mirko_mormile,0.2811,0
visual_only,1.0,0.0,fitness,10,yulia_chash,0.2811,0
visual_only,1.0,0.0,cooking,1,kashii996insta,0.3133,1
visual_only,1.0,0.0,cooking,2,lasvegasfill,0.3073,1
visual_only,1.0,0.0,cooking,3,marielmedina90,0.3027,1
visual_only,1.0,0.0,cooking,4,ayoubcheri15,0.3009,1
visual_only,1.0,0.0,cooking,5,zyad_tasty,0.3007,1
visual_only,1.0,0.0,cooking,6,gymnadz,0.2967,0
visual_only,1.0,0.0,cooking,7,loveemanda,0.2954,0
visual_only,1.0,0.0,cooking,8,puncha.patisserie,0.2942,0
visual_only,1.0,0.0,cooking,9,lyma.jkt,0.2904,0
visual_only,1.0,0.0,cooking,10,gateauty,0.2903,1
visual_only,1.0,0.0,fashion,1,crazydaisymiami21,0.3023,0
visual_only,1.0,0.0,fashion,2,hachireview74,0.2871,0
visual_only,1.0,0.0,fashion,3,stephanyandrea,0.2808,1
visual_only,1.0,0.0,fashion,4,deborahteran26,0.279,0
visual_only,1.0,0.0,fashion,5,jadzia.kim,0.2767,0
visual_only,1.0,0.0,fashion,6,ce.decarla,0.2752,1
visual_only,1.0,0.0,fashion,7,dejjanicole,0.2747,0
visual_only,1.0,0.0,fashion,8,vieon.official,0.2728,0
visual_only,1.0,0.0,fashion,9,lospayasosmasvirales,0.2725,1
visual_only,1.0,0.0,fashion,10,bibaelegante,0.2724,0
visual_only,1.0,0.0,tech,1,adam.digital,0.3014,1
visual_only,1.0,0.0,tech,2,meikeire_,0.3008,0
visual_only,1.0,0.0,tech,3,user07824477,0.2996,0
visual_only,1.0,0.0,tech,4,smarttech_ai,0.2975,1
visual_only,1.0,0.0,tech,5,gabytza001,0.2947,0
visual_only,1.0,0.0,tech,6,techcraze1,0.2925,1
visual_only,1.0,0.0,tech,7,craftylumberjacks,0.2922,0
visual_only,1.0,0.0,tech,8,pjfperformance,0.2907,0
visual_only,1.0,0.0,tech,9,straw_hat00,0.2907,0
visual_only,1.0,0.0,tech,10,geekoutmx,0.2904,1
text_only,0.0,1.0,makeup,1,1amnotjamaila,0.8211,0
text_only,0.0,1.0,makeup,2,ridukushmidahit,0.8142,0
text_only,0.0,1.0,makeup,3,filhadorei539,0.8094,0
text_only,0.0,1.0,makeup,4,da.rafiki,0.8077,0
text_only,0.0,1.0,makeup,5,drareejzulfiqar,0.8052,0
text_only,0.0,1.0,makeup,6,barsha.panday4,0.7977,0
text_only,0.0,1.0,makeup,7,bnkteamhihi,0.7961,0
text_only,0.0,1.0,makeup,8,karen_in_qatar,0.7932,0
text_only,0.0,1.0,makeup,9,carrieberkk,0.7926,0
text_only,0.0,1.0,makeup,10,laurenlovelessss,0.7925,0
text_only,0.0,1.0,fitness,1,1amnotjamaila,0.8397,0
text_only,0.0,1.0,fitness,2,ridukushmidahit,0.8351,0
text_only,0.0,1.0,fitness,3,filhadorei539,0.8201,0
text_only,0.0,1.0,fitness,4,puppy16hp,0.8172,0
text_only,0.0,1.0,fitness,5,drareejzulfiqar,0.8168,0
text_only,0.0,1.0,fitness,6,cotrim13d,0.8161,0
text_only,0.0,1.0,fitness,7,malek.hac,0.816,0
text_only,0.0,1.0,fitness,8,silvanarm_,0.8141,0
text_only,0.0,1.0,fitness,9,ethanadrian666,0.8135,0
text_only,0.0,1.0,fitness,10,carrieberkk,0.8134,0
text_only,0.0,1.0,cooking,1,1amnotjamaila,0.8351,0
text_only,0.0,1.0,cooking,2,ridukushmidahit,0.832,0
text_only,0.0,1.0,cooking,3,filhadorei539,0.8257,0
text_only,0.0,1.0,cooking,4,drareejzulfiqar,0.8215,0
text_only,0.0,1.0,cooking,5,da.rafiki,0.8213,0
text_only,0.0,1.0,cooking,6,carrieberkk,0.8203,0
text_only,0.0,1.0,cooking,7,laurenlovelessss,0.8192,0
text_only,0.0,1.0,cooking,8,puppy16hp,0.8165,0
text_only,0.0,1.0,cooking,9,malek.hac,0.8165,0
