config,image_weight,text_weight,query,rank,creator,score,relevant
visual_only,1.0,0.0,makeup,1,alliecatcosplay,0.2927,1
visual_only,1.0,0.0,makeup,2,amanda_hadzimichalis,0.2889,1
visual_only,1.0,0.0,makeup,3,..khatho,0.2878,0
visual_only,1.0,0.0,makeup,4,renzuwuu,0.2836,1
visual_only,1.0,0.0,makeup,5,bibaelegante,0.2829,0
visual_only,1.0,0.0,makeup,6,simoncisnerospro,0.2822,0
visual_only,1.0,0.0,makeup,7,dimashreim,0.2818,0
visual_only,1.0,0.0,makeup,8,sasha.yakubova,0.2808,1
visual_only,1.0,0.0,makeup,9,malek.hac,0.2779,0
visual_only,1.0,0.0,makeup,10,puncha.patisserie,0.2779,0
visual_only,1.0,0.0,fitness,1,pjfperformance,0.3156,1
visual_only,1.0,0.0,fitness,2,boburmma92,0.2998,1
visual_only,1.0,0.0,fitness,3,alyseee_xofit,0.297,1
visual_only,1.0,0.0,fitness,4,user07824477,0.2947,0
visual_only,1.0,0.0,fitness,5,beduyzuize,0.2926,0
visual_only,1.0,0.0,fitness,6,watan9464,0.2859,0
visual_only,1.0,0.0,fitness,7,diaryoflalalindseay,0.2833,1
visual_only,1.0,0.0,fitness,8,mirko_mormile,0.2811,0
visual_only,1.0,0.0,fitness,9,yulia_chash,0.2811,0
visual_only,1.0,0.0,fitness,10,da.rafiki,0.2802,0
visual_only,1.0,0.0,cooking,1,kashii996insta,0.3133,1
visual_only,1.0,0.0,cooking,2,lasvegasfill,0.3073,1
visual_only,1.0,0.0,cooking,3,marielmedina90,0.3027,1
visual_only,1.0,0.0,cooking,4,ayoubcheri15,0.3009,0
visual_only,1.0,0.0,cooking,5,zyad_tasty,0.3007,1
visual_only,1.0,0.0,cooking,6,gymnadz,0.2967,1
visual_only,1.0,0.0,cooking,7,loveemanda,0.2954,1
visual_only,1.0,0.0,cooking,8,puncha.patisserie,0.2942,1
visual_only,1.0,0.0,cooking,9,lyma.jkt,0.2904,1
visual_only,1.0,0.0,cooking,10,gateauty,0.2903,1
visual_only,1.0,0.0,fashion,1,crazydaisymiami21,0.3023,0
visual_only,1.0,0.0,fashion,2,hachireview74,0.2871,1
visual_only,1.0,0.0,fashion,3,stephanyandrea,0.2808,0
visual_only,1.0,0.0,fashion,4,deborahteran26,0.279,0
visual_only,1.0,0.0,fashion,5,jadzia.kim,0.2767,0
visual_only,1.0,0.0,fashion,6,dejjanicole,0.2747,0
visual_only,1.0,0.0,fashion,7,coumbashouse,0.2742,0
visual_only,1.0,0.0,fashion,8,vieon.official,0.2728,0
visual_only,1.0,0.0,fashion,9,lospayasosmasvirales,0.2725,0
visual_only,1.0,0.0,fashion,10,bibaelegante,0.2724,0
visual_only,1.0,0.0,tech,1,adam.digital,0.3014,1
visual_only,1.0,0.0,tech,2,meikeire_,0.3008,0
visual_only,1.0,0.0,tech,3,user07824477,0.2996,1
visual_only,1.0,0.0,tech,4,smarttech_ai,0.2975,1
visual_only,1.0,0.0,tech,5,gabytza001,0.2947,0
visual_only,1.0,0.0,tech,6,techcraze1,0.2925,1
visual_only,1.0,0.0,tech,7,craftylumberjacks,0.2922,0
visual_only,1.0,0.0,tech,8,pjfperformance,0.2907,0
visual_only,1.0,0.0,tech,9,straw_hat00,0.2907,1
visual_only,1.0,0.0,tech,10,geekoutmx,0.2904,1
text_only,0.0,1.0,makeup,1,aianajuarezofficial,0.8444,0
text_only,0.0,1.0,makeup,2,bishopmbengue,0.8427,0
text_only,0.0,1.0,makeup,3,alabialasela4,0.8345,0
text_only,0.0,1.0,makeup,4,popsiclemaker_,0.8328,0
text_only,0.0,1.0,makeup,5,hanji_gaming,0.83,0
text_only,0.0,1.0,makeup,6,colleeneferrer,0.8295,0
text_only,0.0,1.0,makeup,7,jadou_2528,0.8241,0
text_only,0.0,1.0,makeup,8,crazydaisymiami21,0.8237,0
text_only,0.0,1.0,makeup,9,andrew_campen,0.8194,0
text_only,0.0,1.0,makeup,10,rojruay2465,0.8192,0
